date_key,full_date,year,month,day_of_month,day_of_week,day_name,week_of_month,month_name,semester,trimester,is_weekend
29,2026-06-12,2026,6,12,5,Friday,2,June,S1,T2,False
30,2026-06-13,2026,6,13,6,Saturday,2,June,S1,T2,True
31,2026-06-14,2026,6,14,7,Sunday,2,June,S1,T2,True
32,2026-06-15,2026,6,15,1,Monday,3,June,S1,T2,False
33,2026-06-16,2026,6,16,2,Tuesday,3,June,S1,T2,False
34,2026-06-17,2026,6,17,3,Wednesday,3,June,S1,T2,False
35,2026-06-18,2026,6,18,4,Thursday,3,June,S1,T2,False
36,2026-06-19,2026,6,19,5,Friday,3,June,S1,T2,False
37,2026-06-20,2026,6,20,6,Saturday,3,June,S1,T2,True
38,2026-06-21,2026,6,21,7,Sunday,3,June,S1,T2,True
39,2026-06-22,2026,6,22,1,Monday,4,June,S1,T2,False
40,2026-06-23,2026,6,23,2,Tuesday,4,June,S1,T2,False
41,2026-06-24,2026,6,24,3,Wednesday,4,June,S1,T2,False
42,2026-06-25,2026,6,25,4,Thursday,4,June,S1,T2,False
43,2026-06-26,2026,6,26,5,Friday,4,June,S1,T2,False
44,2026-06-27,2026,6,27,6,Saturday,4,June,S1,T2,True
45,2026-06-28,2026,6,28,7,Sunday,4,June,S1,T2,True
46,2026-06-29,2026,6,29,1,Monday,5,June,S1,T2,False
47,2026-06-30,2026,6,30,2,Tuesday,5,June,S1,T2,False
48,2026-07-01,2026,7,1,3,Wednesday,1,July,S2,T2,False
49,2026-07-02,2026,7,2,4,Thursday,1,July,S2,T2,False
50,2026-07-03,2026,7,3,5,Friday,1,July,S2,T2,False
51,2026-07-04,2026,7,4,6,Saturday,1,July,S2,T2,True
52,2026-07-05,2026,7,5,7,Sunday,1,July,S2,T2,True
53,2026-07-06,2026,7,6,1,Monday,1,July,S2,T2,False
54,2026-07-07,2026,7,7,2,Tuesday,1,July,S2,T2,False
55,2026-07-08,2026,7,8,3,Wednesday,2,July,S2,T2,False
56,2026-07-09,2026,7,9,4,Thursday,2,July,S2,T2,False
57,2026-07-10,2026,7,10,5,Friday,2,July,S2,T2,False
58,2026-07-11,2026,7,11,6,Saturday,2,July,S2,T2,True
59,2026-07-12,2026,7,12,7,Sunday,2,July,S2,T2,True
60,2026-07-13,2026,7,13,1,Monday,2,July,S2,T2,False
61,2026-07-14,2026,7,14,2,Tuesday,2,July,S2,T2,False
62,2026-07-15,2026,7,15,3,Wednesday,3,July,S2,T2,False
63,2026-07-16,2026,7,16,4,Thursday,3,July,S2,T2,False
64,2026-07-17,2026,7,17,5,Friday,3,July,S2,T2,False
65,2026-07-18,2026,7,18,6,Saturday,3,July,S2,T2,True
66,2026-07-19,2026,7,19,7,Sunday,3,July,S2,T2,True
67,2026-07-20,2026,7,20,1,Monday,3,July,S2,T2,False
68,2026-07-21,2026,7,21,2,Tuesday,3,July,S2,T2,False
69,2026-07-22,2026,7,22,3,Wednesday,4,July,S2,T2,False
70,2026-07-23,2026,7,23,4,Thursday,4,July,S2,T2,False
71,2026-07-24,2026,7,24,5,Friday,4,July,S2,T2,False
72,2026-07-25,2026,7,25,6,Saturday,4,July,S2,T2,True
73,2026-07-26,2026,7,26,7,Sunday,4,July,S2,T2,True
74,2026-07-27,2026,7,27,1,Monday,4,July,S2,T2,False
75,2026-07-28,2026,7,28,2,Tuesday,4,July,S2,T2,False
76,2026-07-29,2026,7,29,3,Wednesday,5,July,S2,T2,False
77,2026-07-30,2026,7,30,4,Thursday,5,July,S2,T2,False
78,2026-07-31,2026,7,31,5,Friday,5,July,S2,T2,False
79,2026-08-01,2026,8,1,6,Saturday,1,August,S2,T2,True
80,2026-08-02,2026,8,2,7,Sunday,1,August,S2,T2,True
81,2026-08-03,2026,8,3,1,Monday,1,August,S2,T2,False
82,2026-08-04,2026,8,4,2,Tuesday,1,August,S2,T2,False
83,2026-08-05,2026,8,5,3,Wednesday,1,August,S2,T2,False
84,2026-08-06,2026,8,6,4,Thursday,1,August,S2,T2,False
85,2026-08-07,2026,8,7,5,Friday,1,August,S2,T2,False
86,2026-08-08,2026,8,8,6,Saturday,2,August,S2,T2,True
87,2026-08-09,2026,8,9,7,Sunday,2,August,S2,T2,True
88,2026-08-10,2026,8,10,1,Monday,2,August,S2,T2,False
89,2026-08-11,2026,8,11,2,Tuesday,2,August,S2,T2,False
90,2026-08-12,2026,8,12,3,Wednesday,2,August,S2,T2,False
91,2026-08-13,2026,8,13,4,Thursday,2,August,S2,T2,False
92,2026-08-14,2026,8,14,5,Friday,2,August,S2,T2,False
93,2026-08-15,2026,8,15,6,Saturday,3,August,S2,T2,True
94,2026-08-16,2026,8,16,7,Sunday,3,August,S2,T2,True
95,2026-08-17,2026,8,17,1,Monday,3,August,S2,T2,False
96,2026-08-18,2026,8,18,2,Tuesday,3,August,S2,T2,False
97,2026-08-19,2026,8,19,3,Wednesday,3,August,S2,T2,False
98,2026-08-20,2026,8,20,4,Thursday,3,August,S2,T2,False
99,2026-08-21,2026,8,21,5,Friday,3,August,S2,T2,False
100,2026-08-22,2026,8,22,6,Saturday,4,August,S2,T2,True
101,2026-08-23,2026,8,23,7,Sunday,4,August,S2,T2,True
102,2026-08-24,2026,8,24,1,Monday,4,August,S2,T2,False
103,2026-08-25,2026,8,25,2,Tuesday,4,August,S2,T2,False
104,2026-08-26,2026,8,26,3,Wednesday,4,August,S2,T2,False
105,2026-08-27,2026,8,27,4,Thursday,4,August,S2,T2,False
106,2026-08-28,2026,8,28,5,Friday,4,August,S2,T2,False
107,2026-08-29,2026,8,29,6,Saturday,5,August,S2,T2,True
108,2026-08-30,2026,8,30,7,Sunday,5,August,S2,T2,True
109,2026-08-31,2026,8,31,1,Monday,5,August,S2,T2,False
110,2026-09-01,2026,9,1,2,Tuesday,1,September,S2,T3,False
111,2026-09-02,2026,9,2,3,Wednesday,1,September,S2,T3,False
112,2026-09-03,2026,9,3,4,Thursday,1,September,S2,T3,False
113,2026-09-04,2026,9,4,5,Friday,1,September,S2,T3,False
114,2026-09-05,2026,9,5,6,Saturday,1,September,S2,T3,True
115,2026-09-06,2026,9,6,7,Sunday,1,September,S2,T3,True
116,2026-09-07,2026,9,7,1,Monday,1,September,S2,T3,False
117,2026-09-08,2026,9,8,2,Tuesday,2,September,S2,T3,False
118,2026-09-09,2026,9,9,3,Wednesday,2,September,S2,T3,False
119,2026-09-10,2026,9,10,4,Thursday,2,September,S2,T3,False
120,2026-09-11,2026,9,11,5,Friday,2,September,S2,T3,False
121,2026-09-12,2026,9,12,6,Saturday,2,September,S2,T3,True
122,2026-09-13,2026,9,13,7,Sunday,2,September,S2,T3,True
123,2026-09-14,2026,9,14,1,Monday,2,September,S2,T3,False
124,2026-09-15,2026,9,15,2,Tuesday,3,September,S2,T3,False
125,2026-09-16,2026,9,16,3,Wednesday,3,September,S2,T3,False
126,2026-09-17,2026,9,17,4,Thursday,3,September,S2,T3,False
127,2026-09-18,2026,9,18,5,Friday,3,September,S2,T3,False
128,2026-09-19,2026,9,19,6,Saturday,3,September,S2,T3,True
129,2026-09-20,2026,9,20,7,Sunday,3,September,S2,T3,True
130,2026-09-21,2026,9,21,1,Monday,3,September,S2,T3,False
131,2026-09-22,2026,9,22,2,Tuesday,4,September,S2,T3,False
132,2026-09-23,2026,9,23,3,Wednesday,4,September,S2,T3,False
133,2026-09-24,2026,9,24,4,Thursday,4,September,S2,T3,False
134,2026-09-25,2026,9,25,5,Friday,4,September,S2,T3,False
135,2026-09-26,2026,9,26,6,Saturday,4,September,S2,T3,True
136,2026-09-27,2026,9,27,7,Sunday,4,September,S2,T3,True
137,2026-09-28,2026,9,28,1,Monday,4,September,S2,T3,False
138,2026-09-29,2026,9,29,2,Tuesday,5,September,S2,T3,False
139,2026-09-30,2026,9,30,3,Wednesday,5,September,S2,T3,False
140,2026-10-01,2026,10,1,4,Thursday,1,October,S2,T3,False
141,2026-10-02,2026,10,2,5,Friday,1,October,S2,T3,False
142,2026-10-03,2026,10,3,6,Saturday,1,October,S2,T3,True
143,2026-10-04,2026,10,4,7,Sunday,1,October,S2,T3,True
144,2026-10-05,2026,10,5,1,Monday,1,October,S2,T3,False
145,2026-10-06,2026,10,6,2,Tuesday,1,October,S2,T3,False
146,2026-10-07,2026,10,7,3,Wednesday,1,October,S2,T3,False
147,2026-10-08,2026,10,8,4,Thursday,2,October,S2,T3,False
148,2026-10-09,2026,10,9,5,Friday,2,October,S2,T3,False
149,2026-10-10,2026,10,10,6,Saturday,2,October,S2,T3,True
150,2026-10-11,2026,10,11,7,Sunday,2,October,S2,T3,True
151,2026-10-12,2026,10,12,1,Monday,2,October,S2,T3,False
152,2026-10-13,2026,10,13,2,Tuesday,2,October,S2,T3,False
153,2026-10-14,2026,10,14,3,Wednesday,2,October,S2,T3,False
154,2026-10-15,2026,10,15,4,Thursday,3,October,S2,T3,False
155,2026-10-16,2026,10,16,5,Friday,3,October,S2,T3,False
156,2026-10-17,2026,10,17,6,Saturday,3,October,S2,T3,True
157,2026-10-18,2026,10,18,7,Sunday,3,October,S2,T3,True
158,2026-10-19,2026,10,19,1,Monday,3,October,S2,T3,False
159,2026-10-20,2026,10,20,2,Tuesday,3,October,S2,T3,False
160,2026-10-21,2026,10,21,3,Wednesday,3,October,S2,T3,False
161,2026-10-22,2026,10,22,4,Thursday,4,October,S2,T3,False
162,2026-10-23,2026,10,23,5,Friday,4,October,S2,T3,False
163,2026-10-24,2026,10,24,6,Saturday,4,October,S2,T3,True
164,2026-10-25,2026,10,25,7,Sunday,4,October,S2,T3,True
165,2026-10-26,2026,10,26,1,Monday,4,October,S2,T3,False
166,2026-10-27,2026,10,27,2,Tuesday,4,October,S2,T3,False
167,2026-10-28,2026,10,28,3,Wednesday,4,October,S2,T3,False
168,2026-10-29,2026,10,29,4,Thursday,5,October,S2,T3,False
169,2026-10-30,2026,10,30,5,Friday,5,October,S2,T3,False
170,2026-10-31,2026,10,31,6,Saturday,5,October,S2,T3,True
171,2026-11-01,2026,11,1,7,Sunday,1,November,S2,T3,True
172,2026-11-02,2026,11,2,1,Monday,1,November,S2,T3,False
173,2026-11-03,2026,11,3,2,Tuesday,1,November,S2,T3,False
174,2026-11-04,2026,11,4,3,Wednesday,1,November,S2,T3,False
175,2026-11-05,2026,11,5,4,Thursday,1,November,S2,T3,False
176,2026-11-06,2026,11,6,5,Friday,1,November,S2,T3,False
177,2026-11-07,2026,11,7,6,Saturday,1,November,S2,T3,True
178,2026-11-08,2026,11,8,7,Sunday,2,November,S2,T3,True
179,2026-11-09,2026,11,9,1,Monday,2,November,S2,T3,False
180,2026-11-10,2026,11,10,2,Tuesday,2,November,S2,T3,False
181,2026-11-11,2026,11,11,3,Wednesday,2,November,S2,T3,False
182,2026-11-12,2026,11,12,4,Thursday,2,November,S2,T3,False
183,2026-11-13,2026,11,13,5,Friday,2,November,S2,T3,False
184,2026-11-14,2026,11,14,6,Saturday,2,November,S2,T3,True
185,2026-11-15,2026,11,15,7,Sunday,3,November,S2,T3,True
186,2026-11-16,2026,11,16,1,Monday,3,November,S2,T3,False
187,2026-11-17,2026,11,17,2,Tuesday,3,November,S2,T3,False
188,2026-11-18,2026,11,18,3,Wednesday,3,November,S2,T3,False
189,2026-11-19,2026,11,19,4,Thursday,3,November,S2,T3,False
190,2026-11-20,2026,11,20,5,Friday,3,November,S2,T3,False
191,2026-11-21,2026,11,21,6,Saturday,3,November,S2,T3,True
192,2026-11-22,2026,11,22,7,Sunday,4,November,S2,T3,True
193,2026-11-23,2026,11,23,1,Monday,4,November,S2,T3,False
194,2026-11-24,2026,11,24,2,Tuesday,4,November,S2,T3,False
195,2026-11-25,2026,11,25,3,Wednesday,4,November,S2,T3,False
196,2026-11-26,2026,11,26,4,Thursday,4,November,S2,T3,False
197,2026-11-27,2026,11,27,5,Friday,4,November,S2,T3,False
198,2026-11-28,2026,11,28,6,Saturday,4,November,S2,T3,True
199,2026-11-29,2026,11,29,7,Sunday,5,November,S2,T3,True
200,2026-11-30,2026,11,30,1,Monday,5,November,S2,T3,False
201,2026-12-01,2026,12,1,2,Tuesday,1,December,S2,T3,False
202,2026-12-02,2026,12,2,3,Wednesday,1,December,S2,T3,False
203,2026-12-03,2026,12,3,4,Thursday,1,December,S2,T3,False
204,2026-12-04,2026,12,4,5,Friday,1,December,S2,T3,False
205,2026-12-05,2026,12,5,6,Saturday,1,December,S2,T3,True
206,2026-12-06,2026,12,6,7,Sunday,1,December,S2,T3,True
207,2026-12-07,2026,12,7,1,Monday,1,December,S2,T3,False
208,2026-12-08,2026,12,8,2,Tuesday,2,December,S2,T3,False
209,2026-12-09,2026,12,9,3,Wednesday,2,December,S2,T3,False
210,2026-12-10,2026,12,10,4,Thursday,2,December,S2,T3,False
211,2026-12-11,2026,12,11,5,Friday,2,December,S2,T3,False
212,2026-12-12,2026,12,12,6,Saturday,2,December,S2,T3,True
213,2026-12-13,2026,12,13,7,Sunday,2,December,S2,T3,True
214,2026-12-14,2026,12,14,1,Monday,2,December,S2,T3,False
215,2026-12-15,2026,12,15,2,Tuesday,3,December,S2,T3,False
216,2026-12-16,2026,12,16,3,Wednesday,3,December,S2,T3,False
217,2026-12-17,2026,12,17,4,Thursday,3,December,S2,T3,False
218,2026-12-18,2026,12,18,5,Friday,3,December,S2,T3,False
219,2026-12-19,2026,12,19,6,Saturday,3,December,S2,T3,True
220,2026-12-20,2026,12,20,7,Sunday,3,December,S2,T3,True
221,2026-12-21,2026,12,21,1,Monday,3,December,S2,T3,False
222,2026-12-22,2026,12,22,2,Tuesday,4,December,S2,T3,False
223,2026-12-23,2026,12,23,3,Wednesday,4,December,S2,T3,False
224,2026-12-24,2026,12,24,4,Thursday,4,December,S2,T3,False
225,2026-12-25,2026,12,25,5,Friday,4,December,S2,T3,False
226,2026-12-26,2026,12,26,6,Saturday,4,December,S2,T3,True
227,2026-12-27,2026,12,27,7,Sunday,4,December,S2,T3,True
228,2026-12-28,2026,12,28,1,Monday,4,December,S2,T3,False
229,2026-12-29,2026,12,29,2,Tuesday,5,December,S2,T3,False
230,2026-12-30,2026,12,30,3,Wednesday,5,December,S2,T3,False
231,2026-12-31,2026,12,31,4,Thursday,5,December,S2,T3,False
232,2027-01-01,2027,1,1,5,Friday,1,January,S1,T1,False
233,2027-01-02,2027,1,2,6,Saturday,1,January,S1,T1,True
234,2027-01-03,2027,1,3,7,Sunday,1,January,S1,T1,True
235,2027-01-04,2027,1,4,1,Monday,1,January,S1,T1,False
236,2027-01-05,2027,1,5,2,Tuesday,1,January,S1,T1,False
237,2027-01-06,2027,1,6,3,Wednesday,1,January,S1,T1,False
238,2027-01-07,2027,1,7,4,Thursday,1,January,S1,T1,False
239,2027-01-08,2027,1,8,5,Friday,2,January,S1,T1,False
240,2027-01-09,2027,1,9,6,Saturday,2,January,S1,T1,True
241,2027-01-10,2027,1,10,7,Sunday,2,January,S1,T1,True
242,2027-01-11,2027,1,11,1,Monday,2,January,S1,T1,False
243,2027-01-12,2027,1,12,2,Tuesday,2,January,S1,T1,False
244,2027-01-13,2027,1,13,3,Wednesday,2,January,S1,T1,False
245,2027-01-14,2027,1,14,4,Thursday,2,January,S1,T1,False
246,2027-01-15,2027,1,15,5,Friday,3,January,S1,T1,False
247,2027-01-16,2027,1,16,6,Saturday,3,January,S1,T1,True
248,2027-01-17,2027,1,17,7,Sunday,3,January,S1,T1,True
249,2027-01-18,2027,1,18,1,Monday,3,January,S1,T1,False
250,2027-01-19,2027,1,19,2,Tuesday,3,January,S1,T1,False
251,2027-01-20,2027,1,20,3,Wednesday,3,January,S1,T1,False
252,2027-01-21,2027,1,21,4,Thursday,3,January,S1,T1,False
253,2027-01-22,2027,1,22,5,Friday,4,January,S1,T1,False
254,2027-01-23,2027,1,23,6,Saturday,4,January,S1,T1,True
255,2027-01-24,2027,1,24,7,Sunday,4,January,S1,T1,True
256,2027-01-25,2027,1,25,1,Monday,4,January,S1,T1,False
257,2027-01-26,2027,1,26,2,Tuesday,4,January,S1,T1,False
258,2027-01-27,2027,1,27,3,Wednesday,4,January,S1,T1,False
259,2027-01-28,2027,1,28,4,Thursday,4,January,S1,T1,False
260,2027-01-29,2027,1,29,5,Friday,5,January,S1,T1,False
261,2027-01-30,2027,1,30,6,Saturday,5,January,S1,T1,True
262,2027-01-31,2027,1,31,7,Sunday,5,January,S1,T1,True
263,2027-02-01,2027,2,1,1,Monday,1,February,S1,T1,False
264,2027-02-02,2027,2,2,2,Tuesday,1,February,S1,T1,False
265,2027-02-03,2027,2,3,3,Wednesday,1,February,S1,T1,False
266,2027-02-04,2027,2,4,4,Thursday,1,February,S1,T1,False
267,2027-02-05,2027,2,5,5,Friday,1,February,S1,T1,False
268,2027-02-06,2027,2,6,6,Saturday,1,February,S1,T1,True
269,2027-02-07,2027,2,7,7,Sunday,1,February,S1,T1,True
270,2027-02-08,2027,2,8,1,Monday,2,February,S1,T1,False
271,2027-02-09,2027,2,9,2,Tuesday,2,February,S1,T1,False
272,2027-02-10,2027,2,10,3,Wednesday,2,February,S1,T1,False
273,2027-02-11,2027,2,11,4,Thursday,2,February,S1,T1,False
274,2027-02-12,2027,2,12,5,Friday,2,February,S1,T1,False
275,2027-02-13,2027,2,13,6,Saturday,2,February,S1,T1,True
276,2027-02-14,2027,2,14,7,Sunday,2,February,S1,T1,True
277,2027-02-15,2027,2,15,1,Monday,3,February,S1,T1,False
278,2027-02-16,2027,2,16,2,Tuesday,3,February,S1,T1,False
279,2027-02-17,2027,2,17,3,Wednesday,3,February,S1,T1,False
280,2027-02-18,2027,2,18,4,Thursday,3,February,S1,T1,False
281,2027-02-19,2027,2,19,5,Friday,3,February,S1,T1,False
282,2027-02-20,2027,2,20,6,Saturday,3,February,S1,T1,True
283,2027-02-21,2027,2,21,7,Sunday,3,February,S1,T1,True
284,2027-02-22,2027,2,22,1,Monday,4,February,S1,T1,False
285,2027-02-23,2027,2,23,2,Tuesday,4,February,S1,T1,False
286,2027-02-24,2027,2,24,3,Wednesday,4,February,S1,T1,False
287,2027-02-25,2027,2,25,4,Thursday,4,February,S1,T1,False
288,2027-02-26,2027,2,26,5,Friday,4,February,S1,T1,False
289,2027-02-27,2027,2,27,6,Saturday,4,February,S1,T1,True
290,2027-02-28,2027,2,28,7,Sunday,4,February,S1,T1,True
291,2027-03-01,2027,3,1,1,Monday,1,March,S1,T1,False
292,2027-03-02,2027,3,2,2,Tuesday,1,March,S1,T1,False
293,2027-03-03,2027,3,3,3,Wednesday,1,March,S1,T1,False
294,2027-03-04,2027,3,4,4,Thursday,1,March,S1,T1,False
295,2027-03-05,2027,3,5,5,Friday,1,March,S1,T1,False
296,2027-03-06,2027,3,6,6,Saturday,1,March,S1,T1,True
297,2027-03-07,2027,3,7,7,Sunday,1,March,S1,T1,True
298,2027-03-08,2027,3,8,1,Monday,2,March,S1,T1,False
299,2027-03-09,2027,3,9,2,Tuesday,2,March,S1,T1,False
300,2027-03-10,2027,3,10,3,Wednesday,2,March,S1,T1,False
301,2027-03-11,2027,3,11,4,Thursday,2,March,S1,T1,False
302,2027-03-12,2027,3,12,5,Friday,2,March,S1,T1,False
303,2027-03-13,2027,3,13,6,Saturday,2,March,S1,T1,True
304,2027-03-14,2027,3,14,7,Sunday,2,March,S1,T1,True
305,2027-03-15,2027,3,15,1,Monday,3,March,S1,T1,False
306,2027-03-16,2027,3,16,2,Tuesday,3,March,S1,T1,False
307,2027-03-17,2027,3,17,3,Wednesday,3,March,S1,T1,False
308,2027-03-18,2027,3,18,4,Thursday,3,March,S1,T1,False
309,2027-03-19,2027,3,19,5,Friday,3,March,S1,T1,False
310,2027-03-20,2027,3,20,6,Saturday,3,March,S1,T1,True
311,2027-03-21,2027,3,21,7,Sunday,3,March,S1,T1,True
312,2027-03-22,2027,3,22,1,Monday,4,March,S1,T1,False
313,2027-03-23,2027,3,23,2,Tuesday,4,March,S1,T1,False
314,2027-03-24,2027,3,24,3,Wednesday,4,March,S1,T1,False
315,2027-03-25,2027,3,25,4,Thursday,4,March,S1,T1,False
316,2027-03-26,2027,3,26,5,Friday,4,March,S1,T1,False
317,2027-03-27,2027,3,27,6,Saturday,4,March,S1,T1,True
318,2027-03-28,2027,3,28,7,Sunday,4,March,S1,T1,True
319,2027-03-29,2027,3,29,1,Monday,5,March,S1,T1,False
320,2027-03-30,2027,3,30,2,Tuesday,5,March,S1,T1,False
321,2027-03-31,2027,3,31,3,Wednesday,5,March,S1,T1,False
322,2027-04-01,2027,4,1,4,Thursday,1,April,S1,T1,False
323,2027-04-02,2027,4,2,5,Friday,1,April,S1,T1,False
324,2027-04-03,2027,4,3,6,Saturday,1,April,S1,T1,True
325,2027-04-04,2027,4,4,7,Sunday,1,April,S1,T1,True
326,2027-04-05,2027,4,5,1,Monday,1,April,S1,T1,False
327,2027-04-06,2027,4,6,2,Tuesday,1,April,S1,T1,False
328,2027-04-07,2027,4,7,3,Wednesday,1,April,S1,T1,False
329,2027-04-08,2027,4,8,4,Thursday,2,April,S1,T1,False
330,2027-04-09,2027,4,9,5,Friday,2,April,S1,T1,False
331,2027-04-10,2027,4,10,6,Saturday,2,April,S1,T1,True
332,2027-04-11,2027,4,11,7,Sunday,2,April,S1,T1,True
333,2027-04-12,2027,4,12,1,Monday,2,April,S1,T1,False
334,2027-04-13,2027,4,13,2,Tuesday,2,April,S1,T1,False
335,2027-04-14,2027,4,14,3,Wednesday,2,April,S1,T1,False
336,2027-04-15,2027,4,15,4,Thursday,3,April,S1,T1,False
337,2027-04-16,2027,4,16,5,Friday,3,April,S1,T1,False
338,2027-04-17,2027,4,17,6,Saturday,3,April,S1,T1,True
339,2027-04-18,2027,4,18,7,Sunday,3,April,S1,T1,True
340,2027-04-19,2027,4,19,1,Monday,3,April,S1,T1,False
341,2027-04-20,2027,4,20,2,Tuesday,3,April,S1,T1,False
342,2027-04-21,2027,4,21,3,Wednesday,3,April,S1,T1,False
343,2027-04-22,2027,4,22,4,Thursday,4,April,S1,T1,False
344,2027-04-23,2027,4,23,5,Friday,4,April,S1,T1,False
345,2027-04-24,2027,4,24,6,Saturday,4,April,S1,T1,True
346,2027-04-25,2027,4,25,7,Sunday,4,April,S1,T1,True
347,2027-04-26,2027,4,26,1,Monday,4,April,S1,T1,False
348,2027-04-27,2027,4,27,2,Tuesday,4,April,S1,T1,False
349,2027-04-28,2027,4,28,3,Wednesday,4,April,S1,T1,False
350,2027-04-29,2027,4,29,4,Thursday,5,April,S1,T1,False
351,2027-04-30,2027,4,30,5,Friday,5,April,S1,T1,False
352,2027-05-01,2027,5,1,6,Saturday,1,May,S1,T2,True
353,2027-05-02,2027,5,2,7,Sunday,1,May,S1,T2,True
354,2027-05-03,2027,5,3,1,Monday,1,May,S1,T2,False
355,2027-05-04,2027,5,4,2,Tuesday,1,May,S1,T2,False
356,2027-05-05,2027,5,5,3,Wednesday,1,May,S1,T2,False
357,2027-05-06,2027,5,6,4,Thursday,1,May,S1,T2,False
358,2027-05-07,2027,5,7,5,Friday,1,May,S1,T2,False
359,2027-05-08,2027,5,8,6,Saturday,2,May,S1,T2,True
360,2027-05-09,2027,5,9,7,Sunday,2,May,S1,T2,True
361,2027-05-10,2027,5,10,1,Monday,2,May,S1,T2,False
362,2027-05-11,2027,5,11,2,Tuesday,2,May,S1,T2,False
363,2027-05-12,2027,5,12,3,Wednesday,2,May,S1,T2,False
364,2027-05-13,2027,5,13,4,Thursday,2,May,S1,T2,False
365,2027-05-14,2027,5,14,5,Friday,2,May,S1,T2,False
366,2027-05-15,2027,5,15,6,Saturday,3,May,S1,T2,True
367,2027-05-16,2027,5,16,7,Sunday,3,May,S1,T2,True
368,2027-05-17,2027,5,17,1,Monday,3,May,S1,T2,False
369,2027-05-18,2027,5,18,2,Tuesday,3,May,S1,T2,False
370,2027-05-19,2027,5,19,3,Wednesday,3,May,S1,T2,False
371,2027-05-20,2027,5,20,4,Thursday,3,May,S1,T2,False
372,2027-05-21,2027,5,21,5,Friday,3,May,S1,T2,False
373,2027-05-22,2027,5,22,6,Saturday,4,May,S1,T2,True
374,2027-05-23,2027,5,23,7,Sunday,4,May,S1,T2,True
375,2027-05-24,2027,5,24,1,Monday,4,May,S1,T2,False
376,2027-05-25,2027,5,25,2,Tuesday,4,May,S1,T2,False
377,2027-05-26,2027,5,26,3,Wednesday,4,May,S1,T2,False
378,2027-05-27,2027,5,27,4,Thursday,4,May,S1,T2,False
379,2027-05-28,2027,5,28,5,Friday,4,May,S1,T2,False
380,2027-05-29,2027,5,29,6,Saturday,5,May,S1,T2,True
381,2027-05-30,2027,5,30,7,Sunday,5,May,S1,T2,True
382,2027-05-31,2027,5,31,1,Monday,5,May,S1,T2,False
383,2027-06-01,2027,6,1,2,Tuesday,1,June,S1,T2,False
384,2027-06-02,2027,6,2,3,Wednesday,1,June,S1,T2,False
385,2027-06-03,2027,6,3,4,Thursday,1,June,S1,T2,False
386,2027-06-04,2027,6,4,5,Friday,1,June,S1,T2,False
387,2027-06-05,2027,6,5,6,Saturday,1,June,S1,T2,True
388,2027-06-06,2027,6,6,7,Sunday,1,June,S1,T2,True
389,2027-06-07,2027,6,7,1,Monday,1,June,S1,T2,False
390,2027-06-08,2027,6,8,2,Tuesday,2,June,S1,T2,False
391,2027-06-09,2027,6,9,3,Wednesday,2,June,S1,T2,False
392,2027-06-10,2027,6,10,4,Thursday,2,June,S1,T2,False
393,2027-06-11,2027,6,11,5,Friday,2,June,S1,T2,False
394,2027-06-12,2027,6,12,6,Saturday,2,June,S1,T2,True
395,2027-06-13,2027,6,13,7,Sunday,2,June,S1,T2,True
396,2027-06-14,2027,6,14,1,Monday,2,June,S1,T2,False
397,2027-06-15,2027,6,15,2,Tuesday,3,June,S1,T2,False
